Subject,Wrist,Accuracy,F1,TP,TN,FP,FN
Stairs_tanya,Right,0.725294650951949,0.840777719390436,5600,0,0,2121
Stairs_tanya,Left,0.699391270560808,0.823107994817468,5400,0,0,2321
Standing_Hendrik,Right,0.962411667418433,0,0,6401,250,0
Standing_Hendrik,Left,0.95489400090212,0,0,6351,300,0
Standing_tanya,Right,1,0,0,5381,0,0
Standing_tanya,Left,1,0,0,5381,0,0
Walking_Hendrik,Right,0.763712103679704,0.866028080304422,3300,0,0,1021
Walking_Hendrik,Left,0.694283730617912,0.819560169375768,3000,0,0,1321
Walking_Tanya,Right,0.914580003551767,0.955384472683425,5150,0,0,481
Walking_Tanya,Left,0.985615343633458,0.992755567480547,5550,0,0,81
