ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Walking_limpL_Tanya_Left,Walking_limpL_Tanya,Left,0.859365198845816,1,0.859365198845816,0.924364077997436,1,6850,0,0,1121
Walking_limpR_Hendrik_Right,Walking_limpR_Hendrik,Right,0.993962597555588,1,0.993962597555588,0.996972158629348,1,6750,0,0,41
Walking_limpR_Hendrik_Left,Walking_limpR_Hendrik,Left,0.986599911647769,1,0.986599911647769,0.993254762434215,1,6700,0,0,91
Walking_limpR_Tanya_Right,Walking_limpR_Tanya,Right,0.829903067321737,1,0.829903067321737,0.907045932806037,1,6250,0,0,1281
Walking_limpR_Tanya_Left,Walking_limpR_Tanya,Left,0.929491435400345,1,0.929491435400345,0.963457435826853,1,7000,0,0,531
Walking_phoneB_Hendrik_Right,Walking_phoneB_Hendrik,Right,0.956506045840101,1,0.956506045840101,0.977769578452172,1,5300,0,0,241
Walking_phoneB_Hendrik_Left,Walking_phoneB_Hendrik,Left,0.947482403898213,1,0.947482403898213,0.973033083124826,1,5250,0,0,291
Walking_phoneB_Tanya_Right,Walking_phoneB_Tanya,Right,0.991866693116445,1,0.991866693116445,0.995916741360422,1,5000,0,0,41
Walking_phoneB_Tanya_Left,Walking_phoneB_Tanya,Left,0.991866693116445,1,0.991866693116445,0.995916741360422,1,5000,0,0,41
Walking_phoneL_Hendrik_Right,Walking_phoneL_Hendrik,Right,0.924794974699005,1,0.924794974699005,0.960928292992476,1,5300,0,0,431
Walking_phoneL_Hendrik_Left,Walking_phoneL_Hendrik,Left,0.924794974699005,1,0.924794974699005,0.960928292992476,1,5300,0,0,431
Walking_phoneL_Tanya_Right,Walking_phoneL_Tanya,Right,0.996053373426048,1,0.996053373426048,0.998022785048489,1,5300,0,0,21
Walking_phoneL_Tanya_Left,Walking_phoneL_Tanya,Left,0.996053373426048,1,0.996053373426048,0.998022785048489,1,5300,0,0,21
Walking_phoneR_Hendrik_Right,Walking_phoneR_Hendrik,Right,0.640922929017786,1,0.640922929017786,0.781173713504541,1,4000,0,0,2241
Walking_phoneR_Hendrik_Left,Walking_phoneR_Hendrik,Left,0.68899214869412,1,0.68899214869412,0.815861872687601,1,4300,0,0,1941
Walking_phoneR_Tanya_Right,Walking_phoneR_Tanya,Right,0.975879211931504,1,0.975879211931504,0.987792377224863,1,5300,0,0,131
Walking_phoneR_Tanya_Left,Walking_phoneR_Tanya,Left,0.635242128521451,1,0.635242128521451,0.77693953383628,1,3450,0,0,1981
Walking_pockets_Hendrik_Right,Walking_pockets_Hendrik,Right,0.968351440717997,1,0.968351440717997,0.983921286297096,1,6150,0,0,201
Walking_pockets_Hendrik_Left,Walking_pockets_Hendrik,Left,0.999842544481184,1,0.999842544481184,0.999921266042044,1,6350,0,0,1
Walking_pockets_Tanya_Right,Walking_pockets_Tanya,Right,0.997868630110444,1,0.997868630110444,0.998933178159247,1,5150,0,0,11
Walking_pockets_Tanya_Left,Walking_pockets_Tanya,Left,0.997868630110444,1,0.997868630110444,0.998933178159247,1,5150,0,0,11
Walking_walker_Hendrik_Right,Walking_walker_Hendrik,Right,0,1,0,0,1,0,0,0,5141
Walking_walker_Hendrik_Left,Walking_walker_Hendrik,Left,0,1,0,0,1,0,0,0,5141
Walking_walker_Tanya_Right,Walking_walker_Tanya,Right,0,1,0,0,1,0,0,0,5271
Walking_walker_Tanya_Left,Walking_walker_Tanya,Left,0,1,0,0,1,0,0,0,5271
