ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Walking_caneL_Hendrik_Right,Walking_caneL_Hendrik,Right,0.12709710218607,1,0.12709710218607,0.2255299954894,15,750,0,0,5151
Walking_caneL_Hendrik_Left,Walking_caneL_Hendrik,Left,0.533807829181495,1,0.533807829181495,0.696055684454756,63,3150,0,0,2751
Walking_caneL_Tanya_Right,Walking_caneL_Tanya,Right,0.0346560388147635,1,0.0346560388147635,0.0669904538603249,4,200,0,0,5571
Walking_caneL_Tanya_Left,Walking_caneL_Tanya,Left,0.181944203777508,1,0.181944203777508,0.307872745931682,21,1050,0,0,4721
Walking_caneR_Hendrik_Right,Walking_caneR_Hendrik,Right,0.351249795785002,1,0.351249795785002,0.519888767984524,43,2150,0,0,3971
Walking_caneR_Hendrik_Left,Walking_caneR_Hendrik,Left,0.0490115994118608,1,0.0490115994118608,0.0934433888802367,6,300,0,0,5821
Walking_caneR_Tanya_Right,Walking_caneR_Tanya,Right,0.0374461711290021,1,0.0374461711290021,0.072189135535102,4,200,0,0,5141
Walking_caneR_Tanya_Left,Walking_caneR_Tanya,Left,0.00936154278225051,1,0.00936154278225051,0.0185494342422556,1,50,0,0,5291
Walking_crutches_Hendrik_Right,Walking_crutches_Hendrik,Right,0.525689347351716,1,0.525689347351716,0.689117149915486,53,2650,0,0,2391
Walking_crutches_Hendrik_Left,Walking_crutches_Hendrik,Left,0.664550684388018,1,0.664550684388018,0.798474556071982,67,3350,0,0,1691
Walking_crutches_Tanya_Right,Walking_crutches_Tanya,Right,0.0472500472500473,1,0.0472500472500473,0.0902364194188775,5,250,0,0,5041
Walking_crutches_Tanya_Left,Walking_crutches_Tanya,Left,0.17955017955018,1,0.17955017955018,0.304438391283448,19,950,0,0,4341
Walking_limpL_Hendrik_Right,Walking_limpL_Hendrik,Right,0.989887480415895,1,0.989887480415895,0.994918044520793,139,6950,0,0,71
Walking_limpL_Hendrik_Left,Walking_limpL_Hendrik,Left,0.94715852442672,1,0.94715852442672,0.972862263184844,133,6650,0,0,371
Walking_limpL_Tanya_Right,Walking_limpL_Tanya,Right,0.77649026400669,1,0.77649026400669,0.874184654697061,130,6500,0,0,1871
Walking_limpL_Tanya_Left,Walking_limpL_Tanya,Left,0.651057221359455,1,0.651057221359455,0.788654945372983,109,5450,0,0,2921
Walking_limpR_Hendrik_Right,Walking_limpR_Hendrik,Right,0.869141983034349,1,0.869141983034349,0.929990328100588,125,6250,0,0,941
Walking_limpR_Hendrik_Left,Walking_limpR_Hendrik,Left,0.952579613405646,1,0.952579613405646,0.97571398048572,137,6850,0,0,341
Walking_limpR_Tanya_Right,Walking_limpR_Tanya,Right,0.895221283570798,1,0.895221283570798,0.944714257201783,142,7100,0,0,831
Walking_limpR_Tanya_Left,Walking_limpR_Tanya,Left,0.895221283570798,1,0.895221283570798,0.944714257201783,142,7100,0,0,831
Walking_phoneB_Hendrik_Right,Walking_phoneB_Hendrik,Right,0.378724120518431,1,0.378724120518431,0.549383469661824,45,2250,0,0,3691
Walking_phoneB_Hendrik_Left,Walking_phoneB_Hendrik,Left,0.6732873253661,1,0.6732873253661,0.804748013278342,80,4000,0,0,1941
Walking_phoneB_Tanya_Right,Walking_phoneB_Tanya,Right,0.918948722661275,1,0.918948722661275,0.957762666411263,100,5000,0,0,441
Walking_phoneB_Tanya_Left,Walking_phoneB_Tanya,Left,0.90056974820805,1,0.90056974820805,0.947683976404603,98,4900,0,0,541
Walking_phoneL_Hendrik_Right,Walking_phoneL_Hendrik,Right,0.733974881748491,1,0.733974881748491,0.846580754397517,90,4500,0,0,1631
Walking_phoneL_Hendrik_Left,Walking_phoneL_Hendrik,Left,0.888925134562062,1,0.888925134562062,0.941196787842155,109,5450,0,0,681
Walking_phoneL_Tanya_Right,Walking_phoneL_Tanya,Right,0.908932004894249,1,0.908932004894249,0.952293745993957,104,5200,0,0,521
Walking_phoneL_Tanya_Left,Walking_phoneL_Tanya,Left,0.882712812445377,1,0.882712812445377,0.937703091634946,101,5050,0,0,671
Walking_phoneR_Hendrik_Right,Walking_phoneR_Hendrik,Right,0,NaN,0,NaN,0,0,0,0,6641
Walking_phoneR_Hendrik_Left,Walking_phoneR_Hendrik,Left,0.805601566029213,1,0.805601566029213,0.892335918605621,107,5350,0,0,1291
Walking_phoneR_Tanya_Right,Walking_phoneR_Tanya,Right,0.78031212484994,1,0.78031212484994,0.876601483479434,91,4550,0,0,1281
Walking_phoneR_Tanya_Left,Walking_phoneR_Tanya,Left,0.240096038415366,1,0.240096038415366,0.387221684414327,28,1400,0,0,4431
Walking_pockets_Hendrik_Right,Walking_pockets_Hendrik,Right,0.970226633091394,1,0.970226633091394,0.984888354259078,131,6550,0,0,201
Walking_pockets_Hendrik_Left,Walking_pockets_Hendrik,Left,0.970226633091394,1,0.970226633091394,0.984888354259078,131,6550,0,0,201
Walking_pockets_Tanya_Right,Walking_pockets_Tanya,Right,0.989030749865132,1,0.989030749865132,0.994485127926951,110,5500,0,0,61
Walking_pockets_Tanya_Left,Walking_pockets_Tanya,Left,0.989030749865132,1,0.989030749865132,0.994485127926951,110,5500,0,0,61
Walking_walker_Hendrik_Right,Walking_walker_Hendrik,Right,0.00902364194188775,1,0.00902364194188775,0.0178858880343409,1,50,0,0,5491
Walking_walker_Hendrik_Left,Walking_walker_Hendrik,Left,0.00902364194188775,1,0.00902364194188775,0.0178858880343409,1,50,0,0,5491
Walking_walker_Tanya_Right,Walking_walker_Tanya,Right,0.0176335743255158,1,0.0176335743255158,0.0346560388147635,2,100,0,0,5571
Walking_walker_Tanya_Left,Walking_walker_Tanya,Left,0.0529007229765473,1,0.0529007229765473,0.100485680790487,6,300,0,0,5371
