BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"
"03/06/2025 11:24:14.432	0.985272	-0.149816	0.20374	8.925	-8.505	-6.475	-0.6255	-1.08	-0.315"
"03/06/2025 11:24:14.452	0.986736	-0.14762	0.200324	10.92	-6.72	-6.965	-0.615	-1.0995	-0.2985"
"03/06/2025 11:24:14.472	0.986004	-0.143228	0.206912	11.9	-5.11	-6.79	-0.6195	-1.08	-0.2895"
"03/06/2025 11:24:14.492	0.983076	-0.136152	0.21228	10.465	-3.57	-6.195	-0.639	-1.086	-0.2925"
"03/06/2025 11:24:14.512	0.986492	-0.142984	0.216916	7.455	-2.24	-5.005	-0.6105	-1.086	-0.2745"
"03/06/2025 11:24:14.532	0.977464	-0.149084	0.217648	4.515	-1.085	-3.85	-0.6165	-1.0905	-0.2745"
"03/06/2025 11:24:14.552	0.981856	-0.15982	0.21594	2.415	-0.28	-2.73	-0.6135	-1.1025	-0.2715"
"03/06/2025 11:24:14.572	0.984052	-0.16348	0.214232	1.085	0.56	-1.54	-0.621	-1.0995	-0.261"
"03/06/2025 11:24:14.592	0.980636	-0.166652	0.215452	0.525	1.19	-0.525	-0.621	-1.0995	-0.261"
"03/06/2025 11:24:14.612	0.97844	-0.169336	0.210816	0.805	1.61	0.245	-0.621	-1.0995	-0.261"
"03/06/2025 11:24:14.632	0.976732	-0.16714	0.21594	1.435	1.925	0.665	-0.621	-1.101	-0.2655"
"03/06/2025 11:24:14.652	0.977952	-0.16226	0.204716	2.03	2.415	1.12	-0.6075	-1.089	-0.249"
"03/06/2025 11:24:14.672	0.972096	-0.155672	0.199348	2.45	3.115	1.75	-0.6105	-1.083	-0.2655"
"03/06/2025 11:24:14.692	0.965508	-0.150548	0.199592	2.31	3.57	2.345	-0.6135	-1.089	-0.261"
"03/06/2025 11:24:14.712	0.980148	-0.146156	0.20008	1.085	3.465	3.15	-0.6105	-1.1025	-0.2715"
"03/06/2025 11:24:14.732	0.981124	-0.149572	0.197884	-1.225	3.64	3.955	-0.609	-1.0845	-0.279"
"03/06/2025 11:24:14.752	0.97844	-0.149084	0.19642	-3.01	3.78	4.655	-0.6195	-1.0815	-0.2745"
"03/06/2025 11:24:14.772	0.973316	-0.155916	0.192028	-2.975	3.675	5.285	-0.603	-1.0875	-0.2805"
"03/06/2025 11:24:14.792	0.974292	-0.151524	0.193492	-1.925	3.71	5.495	-0.5925	-1.0905	-0.282"
"03/06/2025 11:24:14.812	0.975512	-0.144936	0.194224	-1.05	3.815	5.425	-0.603	-1.0785	-0.2745"
"03/06/2025 11:24:14.832	0.977708	-0.139812	0.19032	-1.015	3.71	5.18	-0.609	-1.08	-0.276"
"03/06/2025 11:24:14.852	0.97722	-0.13542	0.184952	-1.715	3.64	4.83	-0.627	-1.0845	-0.276"
"03/06/2025 11:24:14.872	0.973804	-0.14152	0.18056	-3.15	3.29	4.305	-0.627	-1.0845	-0.276"
"03/06/2025 11:24:14.892	0.968924	-0.13786	0.180316	-3.605	3.01	3.78	-0.609	-1.0845	-0.2805"
"03/06/2025 11:24:14.912	0.973804	-0.14274	0.183976	-3.815	2.275	3.325	-0.6165	-1.0845	-0.273"
"03/06/2025 11:24:14.932	0.964044	-0.134932	0.180316	-4.095	1.785	2.87	-0.6165	-1.08	-0.285"
"03/06/2025 11:24:14.952	0.976244	-0.137372	0.1769	-3.99	0.385	2.1	-0.6165	-1.086	-0.2805"
"03/06/2025 11:24:14.972	0.976732	-0.144692	0.178364	-3.535	-0.595	1.33	-0.639	-1.077	-0.2835"
"03/06/2025 11:24:14.992	0.976976	-0.14518	0.184464	-2.45	-0.875	0.49	-0.6165	-1.098	-0.2775"
"03/06/2025 11:24:15.012	0.97234	-0.134688	0.180316	-1.05	-0.805	-0.91	-0.6165	-1.086	-0.2805"
"03/06/2025 11:24:15.032	0.981612	-0.127368	0.192272	-0.21	-0.98	-1.89	-0.6195	-1.0875	-0.2865"
"03/06/2025 11:24:15.052	0.984784	-0.127368	0.193736	-2.38	-1.435	-1.995	-0.609	-1.0755	-0.288"
"03/06/2025 11:24:15.072	0.985028	-0.137616	0.19398	-5.74	-1.575	-1.925	-0.6105	-1.077	-0.2865"
"03/06/2025 11:24:15.092	0.9821	-0.153964	0.196664	-6.895	-1.645	-2.1	-0.603	-1.077	-0.3105"
"03/06/2025 11:24:15.112	0.975512	-0.159088	0.195932	-5.18	-1.505	-2.835	-0.6105	-1.071	-0.3105"
"03/06/2025 11:24:15.132	0.97722	-0.145424	0.203984	-2.065	-1.785	-3.815	-0.6045	-1.0875	-0.318"
"03/06/2025 11:24:15.152	0.970876	-0.141032	0.206668	-2.835	-1.89	-4.445	-0.5925	-1.074	-0.333"
"03/06/2025 11:24:15.172	0.975512	-0.147376	0.199836	-4.165	-2.345	-4.795	-0.5985	-1.095	-0.3225"
"03/06/2025 11:24:15.192	0.976244	-0.158844	0.203984	-4.235	-2.485	-4.935	-0.5895	-1.0665	-0.3225"
"03/06/2025 11:24:15.212	0.974048	-0.15738	0.204228	-2.765	-2.415	-5.67	-0.597	-1.074	-0.327"
"03/06/2025 11:24:15.232	0.977464	-0.157624	0.213988	-1.365	-2.345	-5.95	-0.5985	-1.089	-0.3285"
"03/06/2025 11:24:15.252	0.97356	-0.156648	0.214964	-1.54	-2.205	-5.845	-0.603	-1.068	-0.3435"
"03/06/2025 11:24:15.272	0.96624	-0.161528	0.212524	-1.995	-2.03	-5.46	-0.6075	-1.0845	-0.3345"
"03/06/2025 11:24:15.292	0.973804	-0.16348	0.213012	-2.38	-1.925	-4.83	-0.6045	-1.0965	-0.333"
"03/06/2025 11:24:15.312	0.978196	-0.167628	0.212768	-1.82	-1.54	-4.34	-0.597	-1.101	-0.327"
"03/06/2025 11:24:15.332	0.972096	-0.171532	0.220576	-0.77	-1.19	-3.71	-0.603	-1.0935	-0.3225"
"03/06/2025 11:24:15.352	0.976732	-0.17812	0.218868	0	-0.945	-3.185	-0.5985	-1.098	-0.3225"
"03/06/2025 11:24:15.372	0.980392	-0.167628	0.222528	0.875	-0.665	-2.59	-0.603	-1.0935	-0.33"
"03/06/2025 11:24:15.392	0.987468	-0.166164	0.22448	1.435	0.42	-1.715	-0.609	-1.0935	-0.3225"
"03/06/2025 11:24:15.412	0.976488	-0.166408	0.217892	1.47	1.435	-0.84	-0.609	-1.0935	-0.3225"
"03/06/2025 11:24:15.432	0.97966	-0.155428	0.215452	1.365	2.17	0.21	-0.597	-1.0935	-0.312"
"03/06/2025 11:24:15.452	0.983564	-0.152988	0.213744	-0.525	3.045	1.645	-0.5925	-1.1085	-0.312"
"03/06/2025 11:24:15.472	0.970632	-0.160308	0.206424	-2.485	3.57	2.94	-0.5925	-1.095	-0.327"
"03/06/2025 11:24:15.492	0.976	-0.16348	0.204228	-3.08	3.535	3.78	-0.597	-1.0935	-0.3225"
"03/06/2025 11:24:15.512	0.965996	-0.158356	0.19886	-2.485	3.71	4.48	-0.597	-1.098	-0.324"
"03/06/2025 11:24:15.532	0.968192	-0.149328	0.1952	-1.295	2.94	4.76	-0.609	-1.11	-0.324"
