time,ax,ay,az,gx,gy,gz,mx,my,mz,Label
03/26/2025 10:28:37.154,0.417484,0.327692,0.841556,-0.035,0.07,-0.175,-0.312,-1.0365,-0.543,0
03/26/2025 10:28:37.174,0.417972,0.327204,0.842288,0.105,0,-0.07,-0.3,-1.038,-0.5535,0
03/26/2025 10:28:37.194,0.41968,0.33428,0.849608,0.56,0.245,0.07,-0.3045,-1.026,-0.5445,0
03/26/2025 10:28:37.214,0.42334,0.333304,0.854976,0.875,0.49,0.07,-0.3045,-1.026,-0.5445,0
03/26/2025 10:28:37.234,0.411628,0.333304,0.853268,1.05,1.05,0.035,-0.3255,-1.0215,-0.5505,0
03/26/2025 10:28:37.254,0.422608,0.336232,0.8479,1.435,1.365,-0.14,-0.312,-1.02,-0.5475,0
03/26/2025 10:28:37.274,0.416752,0.327204,0.846436,1.26,1.26,-0.07,-0.318,-1.0185,-0.543,0
03/26/2025 10:28:37.294,0.41724,0.32696,0.847656,1.295,1.225,0.105,-0.309,-1.008,-0.5385,0
03/26/2025 10:28:37.314,0.41358,0.3294,0.8479,1.225,1.085,0.14,-0.327,-1.0035,-0.5475,0
03/26/2025 10:28:37.334,0.419192,0.329644,0.848632,1.015,1.225,0.175,-0.3225,-0.9915,-0.5445,0
03/26/2025 10:28:37.354,0.411384,0.332084,0.845216,1.155,1.33,0.07,-0.3315,-0.9975,-0.5325,0
03/26/2025 10:28:37.374,0.41358,0.337452,0.849364,1.225,1.295,0.07,-0.3315,-0.996,-0.534,0
03/26/2025 10:28:37.394,0.416752,0.332572,0.849608,1.12,1.295,-0.035,-0.342,-1.0035,-0.5265,0
03/26/2025 10:28:37.414,0.42334,0.337696,0.848632,0.945,0.945,-0.035,-0.3375,-0.996,-0.516,0
03/26/2025 10:28:37.434,0.416996,0.336964,0.855708,0.77,1.26,-0.035,-0.333,-0.99,-0.525,0
03/26/2025 10:28:37.454,0.412116,0.335744,0.851072,1.155,1.295,0.105,-0.333,-0.99,-0.525,0
03/26/2025 10:28:37.474,0.41358,0.338184,0.854,1.05,0.945,0.21,-0.333,-0.99,-0.525,0
03/26/2025 10:28:37.494,0.41236,0.332328,0.854976,0.63,0.63,0.315,-0.3375,-1.0035,-0.519,0
03/26/2025 10:28:37.514,0.410652,0.331596,0.852536,0.56,0.735,0.28,-0.3315,-1.0065,-0.513,0
03/26/2025 10:28:37.534,0.40504,0.329888,0.849608,0.91,0.63,0.14,-0.3255,-1.0035,-0.5145,0
03/26/2025 10:28:37.554,0.416508,0.333548,0.849852,0.665,0.455,-0.07,-0.324,-1.0065,-0.516,0
03/26/2025 10:28:37.574,0.405528,0.332084,0.849608,-0.105,0.455,-0.21,-0.3285,-1.0095,-0.522,0
03/26/2025 10:28:37.594,0.412116,0.330864,0.8479,-0.105,0.28,-0.105,-0.3315,-1.014,-0.5235,0
03/26/2025 10:28:37.614,0.420412,0.331596,0.8479,-0.035,0.35,-0.14,-0.3345,-1.0125,-0.5145,0
03/26/2025 10:28:37.634,0.410408,0.335744,0.844484,0.14,0.455,0,-0.33,-1.0095,-0.519,0
03/26/2025 10:28:37.654,0.410652,0.338916,0.848876,0.105,0.14,0.21,-0.33,-1.0095,-0.519,0
03/26/2025 10:28:37.674,0.409432,0.3355,0.8479,0.175,0.105,0.315,-0.33,-1.0095,-0.519,0
03/26/2025 10:28:37.694,0.409432,0.34038,0.853024,0.56,-0.035,0.245,-0.3255,-1.0005,-0.519,0
03/26/2025 10:28:37.714,0.414556,0.334036,0.856928,0.42,0.035,0.28,-0.336,-1.0005,-0.516,0
03/26/2025 10:28:37.734,0.408212,0.337452,0.853756,0.07,0.35,0.245,-0.324,-1.0095,-0.5205,0
03/26/2025 10:28:37.754,0.4148,0.337696,0.846436,0.175,0.385,0.175,-0.3315,-1.0215,-0.5085,0
03/26/2025 10:28:37.774,0.413824,0.330376,0.848632,0.07,0.35,0.14,-0.3225,-1.023,-0.516,0
03/26/2025 10:28:37.794,0.413824,0.332816,0.843508,0.14,0.28,0,-0.3195,-1.023,-0.528,0
03/26/2025 10:28:37.814,0.411628,0.333548,0.84912,0.315,0,-0.035,-0.3225,-1.0335,-0.522,0
03/26/2025 10:28:37.834,0.412604,0.335744,0.853024,0.035,-0.175,-0.035,-0.318,-1.038,-0.519,0
03/26/2025 10:28:37.854,0.410408,0.329644,0.854732,-0.945,-0.315,0.21,-0.309,-1.0515,-0.525,0
03/26/2025 10:28:37.874,0.410652,0.334036,0.854976,-0.735,-0.035,0.245,-0.3,-1.0395,-0.5385,0
03/26/2025 10:28:37.894,0.40992,0.33672,0.84424,-0.175,0.14,0.28,-0.294,-1.0395,-0.54,0
03/26/2025 10:28:37.914,0.4087,0.336232,0.842288,-0.14,-0.035,0.315,-0.2985,-1.044,-0.54,0
03/26/2025 10:28:37.934,0.411628,0.33672,0.846192,-0.42,-0.315,0.28,-0.294,-1.0455,-0.54,0
03/26/2025 10:28:37.954,0.409676,0.332816,0.844728,-0.49,-0.105,0.385,-0.294,-1.038,-0.537,0
03/26/2025 10:28:37.974,0.408456,0.331108,0.84912,0.175,-0.105,0.385,-0.294,-1.038,-0.537,0
03/26/2025 10:28:37.994,0.406992,0.336964,0.848632,0.175,0.07,0.49,-0.2955,-1.0455,-0.5415,0
03/26/2025 10:28:38.014,0.412604,0.329156,0.848876,-0.14,0.035,0.63,-0.2985,-1.047,-0.552,0
03/26/2025 10:28:38.034,0.410652,0.338184,0.85278,-0.105,-0.42,0.63,-0.294,-1.032,-0.5415,0
03/26/2025 10:28:38.054,0.418216,0.333304,0.854976,-0.595,-0.245,0.455,-0.3075,-1.0335,-0.5565,0
03/26/2025 10:28:38.074,0.410164,0.33062,0.855952,-0.21,-0.105,0.42,-0.3195,-1.0365,-0.555,0
03/26/2025 10:28:38.094,0.410408,0.332328,0.846192,0.315,-0.175,0.315,-0.312,-1.0395,-0.552,0
03/26/2025 10:28:38.114,0.414312,0.331352,0.846436,-0.21,-0.35,0.28,-0.309,-1.032,-0.555,0
03/26/2025 10:28:38.134,0.414068,0.33306,0.844484,-0.525,-0.595,0.315,-0.3015,-1.029,-0.5505,0
03/26/2025 10:28:38.154,0.4148,0.325252,0.848632,-0.56,-0.63,0.245,-0.3105,-1.035,-0.54,0
03/26/2025 10:28:38.174,0.410164,0.33428,0.849364,-0.525,-0.595,0.14,-0.309,-1.041,-0.5445,0
03/26/2025 10:28:38.194,0.413336,0.334768,0.849608,-0.455,-0.35,0.105,-0.312,-1.035,-0.543,0
03/26/2025 10:28:38.214,0.413336,0.328912,0.846192,-0.28,-0.245,-0.07,-0.3045,-1.029,-0.5445,0
03/26/2025 10:28:38.234,0.41358,0.33306,0.844728,-0.07,-0.42,-0.245,-0.3045,-1.0305,-0.5415,0
03/26/2025 10:28:38.254,0.41114,0.329156,0.849852,-0.245,-0.35,-0.42,-0.3045,-1.0305,-0.5415,0
03/26/2025 10:28:38.274,0.415044,0.325008,0.849364,-0.175,-0.175,-0.455,-0.324,-1.02,-0.5505,0
03/26/2025 10:28:38.294,0.408456,0.33184,0.847168,0.315,-0.245,-0.56,-0.3225,-1.026,-0.5445,0
03/26/2025 10:28:38.314,0.416508,0.32696,0.854,0.07,-0.455,-0.595,-0.315,-1.008,-0.5505,0
03/26/2025 10:28:38.334,0.418948,0.334768,0.850096,-0.07,-0.35,-0.665,-0.3165,-1.0065,-0.549,0
03/26/2025 10:28:38.354,0.415532,0.33306,0.850584,-0.105,-0.56,-0.735,-0.3225,-0.996,-0.5385,0
03/26/2025 10:28:38.374,0.417728,0.329644,0.848876,0,-0.315,-0.735,-0.333,-0.9915,-0.5385,0
03/26/2025 10:28:38.394,0.415288,0.32818,0.850828,0,-0.35,-0.805,-0.336,-1.0035,-0.5355,0
03/26/2025 10:28:38.414,0.41358,0.33428,0.849608,0.035,-0.42,-0.77,-0.348,-1.005,-0.5205,0
03/26/2025 10:28:38.434,0.408212,0.335256,0.844728,-0.07,-0.525,-0.84,-0.327,-0.999,-0.528,0
03/26/2025 10:28:38.454,0.413336,0.331352,0.847656,0.21,-0.77,-0.945,-0.327,-0.999,-0.528,0
03/26/2025 10:28:38.474,0.412848,0.332816,0.848144,-0.035,-0.735,-1.12,-0.3315,-0.99,-0.519,0
03/26/2025 10:28:38.494,0.418216,0.32818,0.853024,-0.245,-0.91,-0.98,-0.333,-1.005,-0.51,0
03/26/2025 10:28:38.514,0.41724,0.3355,0.8479,0.035,-0.665,-1.05,-0.3315,-1.0035,-0.516,0
03/26/2025 10:28:38.534,0.41114,0.335256,0.85034,0.035,-0.49,-1.225,-0.3255,-1.017,-0.5145,0
03/26/2025 10:28:38.554,0.416264,0.339892,0.84912,-0.14,-0.665,-1.05,-0.3285,-1.0035,-0.522,0
03/26/2025 10:28:38.574,0.414312,0.337452,0.845948,-0.35,-0.735,-1.155,-0.3225,-1.0065,-0.5175,0
03/26/2025 10:28:38.594,0.415044,0.338916,0.848144,-0.245,-0.805,-1.19,-0.324,-1.0005,-0.5145,0
03/26/2025 10:28:38.614,0.4148,0.332328,0.843996,-0.35,-0.735,-1.225,-0.324,-1.0065,-0.516,0
03/26/2025 10:28:38.634,0.416996,0.324764,0.846924,0.07,-0.63,-1.33,-0.327,-1.0185,-0.5235,0
03/26/2025 10:28:38.654,0.413336,0.33062,0.844728,0.49,-0.735,-1.365,-0.327,-1.0185,-0.5235,0
03/26/2025 10:28:38.674,0.421144,0.333792,0.845948,0,-1.015,-1.33,-0.327,-1.0185,-0.5235,0
03/26/2025 10:28:38.694,0.415044,0.334768,0.852536,-0.525,-0.98,-1.295,-0.3225,-1.002,-0.516,0
03/26/2025 10:28:38.714,0.41724,0.334768,0.85156,-0.455,-0.805,-1.365,-0.3285,-1.0005,-0.519,0
03/26/2025 10:28:38.734,0.418216,0.34404,0.844728,-0.455,-0.945,-1.4,-0.3195,-1.0035,-0.522,0
03/26/2025 10:28:38.754,0.418216,0.337452,0.848876,-0.84,-1.085,-1.505,-0.3285,-1.0095,-0.522,0
03/26/2025 10:28:38.774,0.411384,0.336232,0.849608,-0.98,-0.875,-1.68,-0.321,-1.0215,-0.5055,0
