Subject,Accuracy,Precision,Recall,F1
NLS035_FreeWalk,0.5978176149649259,0.9360333080999244,0.5248302207130731,0.6725591514821866
NLS101_FreeWalk,0.8603529880125624,0.8654258631426002,0.9116618075801749,0.8879423561566039
NLS187_FreeWalk,0.35616023533483304,0.9357372367011781,0.1512930039251905,0.260472049689441
NLS188_FreeWalk,0.2964076356530888,0.8839528558476881,0.06548018804566823,0.12192834365034702
NLS189_FreeWalk,0.8246762099522835,0.9763925060909014,0.7646555694453583,0.8576488820013283
NLS190_FreeWalk,0.8600495209387448,0.8881511746680286,0.9194108761329305,0.9035107251540118
NLS191_FreeWalk,0.799953596287703,0.9201804141324403,0.8107538535645472,0.862008258378413
NLS192_FreeWalk,0.8039276325962579,0.955945945945946,0.7619560534252477,0.8479980819947255
NLS194_FreeWalk,0.8953915171288744,0.887529945782373,0.9813188345183327,0.9320709745762712
NLS195_FreeWalk,0.8562580093976933,0.8983525023313647,0.8930778739184178,0.8957074229040757
NLS196_FreeWalk,0.5722090261282661,0.917325167917819,0.4822912339011217,0.6321987746766508
NLS197_FreeWalk,0.854267985913131,0.9126088950022925,0.8574875064621748,0.884189951579228
NLS198_FreeWalk,0.33983533394890736,0.0,0.0,0.0
NLS209_FreeWalk,0.643512607724226,0.9382171226831421,0.563477338987543,0.7040900811392614
NLS210_FreeWalk,0.8440060420194992,0.9658674188998589,0.8240673886883273,0.8893506493506493
NLS211_FreeWalk,0.7667147667147667,0.9422494822367373,0.7414441519368183,0.8298723165427249
WPD011_FreeWalk,0.5199678505048475,0.0,0.0,0.0
WPD012_FreeWalk,0.5417536534446764,0.0,0.0,0.0
WPD013_Freewalk,0.8233930585139707,0.9240005277741127,0.7574086091282717,0.8324517087667161
WPD015_FreeWalk,0.8325031546788869,0.7860641139804097,0.9216914643696162,0.8484921302414995
WPD016_FreeWalk,0.902938901778809,0.7702166615807141,1.0,0.8701947940010343
WPD017_FreeWalk,0.8951712752785803,0.8438981562774364,1.0,0.9153413960575183
WPD018_FreeWalk,0.8292445955793053,0.7370488124181784,1.0,0.8486218776916451
WPD019_FreeWalk,0.8273830505060678,0.8168498168498168,0.8314001657000829,0.8240607678094847
WPD020_FreeWalk,0.8165401090342679,0.6970721649484536,0.9887693027608797,0.8176849030135926
WPD021_FreeWalk,0.67385471529365,0.0,0.0,0.0
WPD022_FreeWalk,0.8326572008113591,0.7436893203883496,1.0,0.8530066815144766
WPD023_FreeWalk,0.8590288452843837,0.7836321984358954,0.9632003107097776,0.864186775851555
WPD024_FreeWalk,0.8973290165924727,0.8674494869353644,0.8646140868831717,0.8660294661245181
WPD025_FreeWalk,0.6888235802575849,0.9204073561400039,0.59277890983189,0.7211247966534976
WPD026_FreeWalk,0.8684779086097008,0.7787771418188425,1.0,0.875632054752541
WPD027_FreeWalk,0.854568361086766,0.8143249567606063,0.9060448268055241,0.8577399131972352
WPD029_FreeWalk,0.7990219352388187,0.7728655445142973,0.9290589956118966,0.8437949739842798
