Subject,Wrist,Duration_sec,NumWindows,Accuracy,Precision,Recall,F1
NLS035_FreeWalk,right,169.00940979955456,170,0.8058823529411765,0.8835616438356164,0.8896551724137931,0.8865979381443299
NLS188_FreeWalk,right,189.01262735927844,190,0.8842105263157894,0.9455782312925171,0.9084967320261438,0.9266666666666666
NLS190_FreeWalk,right,175.00314013996055,176,0.8352272727272727,0.8648648648648649,0.9343065693430657,0.8982456140350877
NLS192_FreeWalk,right,184.0,185,0.8054054054054054,0.86,0.8958333333333334,0.8775510204081632
NLS194_FreeWalk,right,186.01580557443916,187,0.8128342245989305,0.8518518518518519,0.9261744966442953,0.887459807073955
NLS195_FreeWalk,right,177.00315058739764,178,0.7752808988764045,0.8428571428571429,0.8676470588235294,0.855072463768116
NLS197_FreeWalk,right,168.0125232948192,169,0.7692307692307693,0.8091603053435115,0.8833333333333333,0.8446215139442231
NLS211_FreeWalk,right,197.02211353431687,198,0.8686868686868687,0.9216867469879518,0.9216867469879518,0.9216867469879518
WPD011_FreeWalk,right,189.0253223915592,190,0.8578947368421053,0.8378378378378378,0.9117647058823529,0.8732394366197183
WPD013_Freewalk,right,149.009335839599,150,0.6333333333333333,0.6944444444444444,0.7731958762886598,0.7317073170731707
WPD015_FreeWalk,right,140.02480070859167,141,0.5106382978723404,0.6896551724137931,0.25,0.3669724770642202
WPD017_FreeWalk,right,159.0,160,0.84375,0.808695652173913,0.96875,0.8815165876777251
WPD019_FreeWalk,right,188.01262380392816,189,0.7407407407407407,0.6962962962962963,0.9215686274509803,0.7932489451476793
WPD020_FreeWalk,right,195.02848101265826,196,0.6377551020408163,0.5590062111801242,1.0,0.7171314741035857
WPD021_FreeWalk,right,164.00313156387244,165,0.8909090909090909,0.7631578947368421,1.0,0.8656716417910447
WPD022_FreeWalk,right,147.01553254437871,148,0.7567567567567568,0.85,0.6538461538461539,0.7391304347826086
WPD026_FreeWalk,right,175.02836304700162,176,0.8352272727272727,0.775,0.9789473684210527,0.8651162790697674
WPD027_FreeWalk,right,172.01570489408329,173,0.861271676300578,0.7913043478260869,1.0,0.883495145631068
