Subject,Wrist,Duration_sec,NumWindows,Accuracy,Precision,Recall,F1
NLS035_FreeWalk,right,169.00940979955456,170,0.8058823529411765,0.8943661971830986,0.8758620689655172,0.8850174216027874
NLS035_FreeWalk,left,169.00940979955456,170,0.5705882352941176,0.8829787234042553,0.5724137931034483,0.694560669456067
NLS101_FreeWalk,right,216.025482967114,217,0.8018433179723502,0.88,0.7971014492753623,0.8365019011406845
NLS101_FreeWalk,left,216.025482967114,217,0.8341013824884793,0.8355263157894737,0.9202898550724637,0.8758620689655172
NLS187_FreeWalk,right,221.01593596769544,222,0.22972972972972974,0.625,0.13812154696132597,0.22624434389140272
NLS187_FreeWalk,left,221.01593596769544,222,0.25225225225225223,0.7027027027027027,0.143646408839779,0.23853211009174313
NLS188_FreeWalk,right,189.01262735927844,190,0.7684210526315789,0.9739130434782609,0.7320261437908496,0.835820895522388
NLS188_FreeWalk,left,189.01262735927844,190,0.8736842105263158,0.9387755102040817,0.9019607843137255,0.92
NLS189_FreeWalk,right,210.00636267232235,211,0.8815165876777251,0.9056603773584906,0.935064935064935,0.9201277955271565
NLS189_FreeWalk,left,210.00636267232235,211,0.8293838862559242,0.9097222222222222,0.8506493506493507,0.8791946308724832
NLS190_FreeWalk,right,175.00314013996055,176,0.8636363636363636,0.9064748201438849,0.9197080291970803,0.9130434782608695
NLS190_FreeWalk,left,175.00314013996055,176,0.9034090909090909,0.8896103896103896,1.0,0.9415807560137457
NLS191_FreeWalk,right,205.0221998762376,206,0.9320388349514563,0.9704142011834319,0.9479768786127167,0.9590643274853801
NLS191_FreeWalk,left,205.0221998762376,206,0.7718446601941747,0.89375,0.8265895953757225,0.8588588588588588
NLS192_FreeWalk,right,184.0,185,0.827027027027027,0.8888888888888888,0.8888888888888888,0.8888888888888888
NLS192_FreeWalk,left,184.0,185,0.7783783783783784,0.8652482269503546,0.8472222222222222,0.856140350877193
NLS194_FreeWalk,right,186.01580557443916,187,0.8502673796791443,0.9060402684563759,0.9060402684563759,0.9060402684563759
NLS194_FreeWalk,left,186.01580557443916,187,0.8983957219251337,0.891566265060241,0.9932885906040269,0.9396825396825397
NLS195_FreeWalk,right,177.00315058739764,178,0.8089887640449438,0.8863636363636364,0.8602941176470589,0.8731343283582089
NLS195_FreeWalk,left,177.00315058739764,178,0.6797752808988764,0.9157894736842105,0.6397058823529411,0.7532467532467533
NLS196_FreeWalk,right,242.0223571334301,243,0.654320987654321,0.9064748201438849,0.6395939086294417,0.75
NLS196_FreeWalk,left,242.0223571334301,243,0.48148148148148145,0.7983193277310925,0.48223350253807107,0.6012658227848101
NLS197_FreeWalk,right,168.0125232948192,169,0.31952662721893493,0.5675675675675675,0.175,0.267515923566879
NLS197_FreeWalk,left,168.0125232948192,169,0.8520710059171598,0.8571428571428571,0.95,0.9011857707509882
NLS198_FreeWalk,right,249.00958060792618,250,0.608,0.8016528925619835,0.5672514619883041,0.6643835616438356
NLS198_FreeWalk,left,249.00958060792618,250,0.804,0.8279569892473119,0.9005847953216374,0.8627450980392157
NLS209_FreeWalk,right,240.02873104549082,241,0.6721991701244814,0.9612403100775194,0.6262626262626263,0.7584097859327217
NLS209_FreeWalk,left,240.02873104549082,241,0.8672199170124482,0.9108910891089109,0.9292929292929293,0.92
NLS210_FreeWalk,right,208.02539294979402,209,0.9043062200956937,0.9873417721518988,0.896551724137931,0.9397590361445783
NLS210_FreeWalk,left,208.02539294979402,209,0.9330143540669856,0.9597701149425287,0.9597701149425287,0.9597701149425287
NLS211_FreeWalk,right,197.02211353431687,198,0.9191919191919192,0.987012987012987,0.9156626506024096,0.95
NLS211_FreeWalk,left,197.02211353431687,198,0.9141414141414141,1.0,0.8975903614457831,0.946031746031746
WPD011_FreeWalk,right,189.0253223915592,190,0.8789473684210526,0.883495145631068,0.8921568627450981,0.8878048780487805
WPD011_FreeWalk,left,189.0253223915592,190,0.8894736842105263,0.8857142857142857,0.9117647058823529,0.8985507246376812
WPD012_FreeWalk,right,200.0158177791838,201,0.900497512437811,0.8411214953271028,0.967741935483871,0.9
WPD012_FreeWalk,left,200.0158177791838,201,0.8905472636815921,0.8913043478260869,0.8723404255319149,0.8817204301075269
WPD013_Freewalk,right,149.009335839599,150,0.6266666666666667,0.7411764705882353,0.6494845360824743,0.6923076923076923
WPD013_Freewalk,left,149.009335839599,150,0.7733333333333333,0.7647058823529411,0.9381443298969072,0.8425925925925926
WPD015_FreeWalk,right,140.02480070859167,141,0.49645390070921985,0.7142857142857143,0.1875,0.297029702970297
WPD015_FreeWalk,left,140.02480070859167,141,0.8014184397163121,0.7708333333333334,0.925,0.8409090909090909
WPD016_FreeWalk,right,222.0286205414697,223,0.874439461883408,0.7802197802197802,0.8987341772151899,0.8352941176470589
WPD016_FreeWalk,left,222.0286205414697,223,0.8923766816143498,0.8571428571428571,0.8354430379746836,0.8461538461538461
WPD017_FreeWalk,right,159.0,160,0.83125,0.8876404494382022,0.8229166666666666,0.8540540540540541
WPD017_FreeWalk,left,159.0,160,0.875,0.8725490196078431,0.9270833333333334,0.898989898989899
WPD019_FreeWalk,right,188.01262380392816,189,0.8148148148148148,0.7964601769911505,0.8823529411764706,0.8372093023255814
WPD019_FreeWalk,left,188.01262380392816,189,0.5238095238095238,0.62,0.30392156862745096,0.40789473684210525
