Subject,Accuracy,Precision,Recall,F1
NLS035_FreeWalk,0.8846453624318005,0.9535338345864661,0.8971420486700622,0.9244787869951888
NLS101_FreeWalk,0.7751139027734772,0.9963218390804598,0.6317784256559766,0.7732381801962533
NLS187_FreeWalk,0.927409586433639,0.94779622209502,0.9557838836296467,0.9517732942461344
NLS188_FreeWalk,0.5963725637556991,0.9819464033850493,0.46756212222968435,0.6334849863512284
NLS189_FreeWalk,0.5602363099295614,0.9640336134453782,0.3773932495558918,0.5424369946569578
NLS190_FreeWalk,0.9055872537409839,0.9642683912691997,0.9009063444108761,0.9315111284654432
NLS191_FreeWalk,0.8882598607888631,0.9156908665105387,0.9417148362235067,0.9285205414390881
NLS192_FreeWalk,0.8847482088552137,0.9826589595375722,0.8545167312939824,0.9141189122753111
NLS194_FreeWalk,0.8565456769983687,0.9322338830584708,0.8668618430224453,0.898360182041465
NLS195_FreeWalk,0.8959846219564289,0.9019005847953216,0.9531829419035847,0.9268329326923077
NLS196_FreeWalk,0.7910530482977038,0.9274617737003058,0.7874948068134607,0.8517665561983935
NLS197_FreeWalk,0.919950807758958,0.9200660611065236,0.9600206789591591,0.9396188227357058
NLS198_FreeWalk,0.8660741766697445,0.9630331753554502,0.8289527361734367,0.8909768548968022
NLS209_FreeWalk,0.29951324609000957,0.9246753246753247,0.0754836999734959,0.13957363391325656
NLS210_FreeWalk,0.8795257930150593,0.9830110497237569,0.8564380264741276,0.9153697749196141
NLS211_FreeWalk,0.8256854256854257,1.0,0.7728469349379467,0.8718710224862113
WPD011_FreeWalk,0.5199678505048475,0.0,0.0,0.0
WPD012_FreeWalk,0.5417536534446764,0.0,0.0,0.0
WPD013_Freewalk,0.6707179551434658,0.962877030162413,0.44884274280770065,0.6122750073768073
WPD015_FreeWalk,0.85136481370791,0.8307317073170731,0.8890629078569564,0.8589080822090531
WPD016_FreeWalk,0.9366675259946722,0.8816020025031289,0.93026941362916,0.9052820974167844
WPD017_FreeWalk,0.9061376098107423,0.8978174603174603,0.941531419059509,0.9191549867966687
WPD018_FreeWalk,0.8666504736458587,0.7880445795339412,0.9868053793453438,0.8762956286615593
WPD019_FreeWalk,0.8445037514477063,0.9146464646464646,0.7502071251035626,0.8243058716431497
WPD020_FreeWalk,0.7444509345794392,0.6933177022274326,0.6918577445016378,0.6925869539758754
WPD021_FreeWalk,0.67385471529365,0.0,0.0,0.0
WPD022_FreeWalk,0.8524340770791075,0.8267156862745098,0.8806788511749347,0.8528445006321113
WPD023_FreeWalk,0.8708291888959219,0.9593827160493827,0.7545392756578309,0.8447198217294418
WPD024_FreeWalk,0.7121003642250101,0.9372693726937269,0.26781948544917755,0.41659832704608823
WPD025_FreeWalk,0.4633071138387069,0.9790087463556851,0.21383087111563934,0.35099822305843004
WPD026_FreeWalk,0.927946418926218,0.9923809523809524,0.8509099393373775,0.9162165557090818
WPD027_FreeWalk,0.8528702892199824,0.9588059701492537,0.7271904007244736,0.8270889661387923
WPD029_FreeWalk,0.3612192574304435,0.11733333333333333,0.014301966520396555,0.02549616108938143
